id,name,default_code,categ_id:id,description,type,lst_price,cost_method,valuation,taxes_id:id,supplier_taxes_id:id,uom_id,uom_po_id,sale_ok,purchase_ok,active
sparepart_HC428106L,HC428106L,HC428106L,wtc_product.categ_sparepart_chain,HC428106L,product,66500,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_NLK-H008C,NLK-H008C,NLK-H008C,wtc_product.categ_sparepart_nonhgp-aspira,NLK-H008C,product,10000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_061B1KPH001,061B1KPH001,GASKET KIT B,wtc_product.categ_sparepart_gst,GASKET KIT B,product,33800,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_06535041010,06535041010,RACE STEERING KIT,wtc_product.categ_sparepart_rskit,06535-041-010,product,90000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_HC428H116L,HC428H116L,"CHAIN,DRIVE",wtc_product.categ_sparepart_chain,HGP,product,143000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_37800GN5901,37800GN5901,FUEL,wtc_product.categ_sparepart_elect,HGP,product,238935,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_30400K25611,30400K25611,ENG CONTROL UNIT,wtc_product.categ_sparepart_elect,30400-K25-611,product,900000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_871X0K61WHI,871X0K61WHI,STICKER BEAT POP WHITE,wtc_product.categ_sparepart_pacc,871X0-K61-WHI,product,50000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_061B1KEV000,061B1KEV000,GASKET KIT B,wtc_product.categ_sparepart_gst,HGP,product,57000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_077010020300,077010020300,SPOKE ADJUSTER SPORT,wtc_product.categ_sparepart_tl,07701-0020300,product,132000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_16100KRSA01,16100KRSA01,CARBURRATOR ASSY,wtc_product.categ_sparepart_impor,HGP,product,495000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_63500KPW900FMB,63500KPW900FMB,0,wtc_product.categ_sparepart_plast,HGP,product,6500,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_AHCS0D203BK,AHCS0D203BK,"COVER,SEAT",wtc_product.categ_sparepart_accec,"COVER,SEAT",product,45000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_AHCS0D212BL,AHCS0D212BL,"COVER,SEAT 3D(STAR-",wtc_product.categ_sparepart_accec,"COVER,SEAT 3D(STAR-",product,45000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_HC420SB-104L,HC420SB-104L,CHAIN,wtc_product.categ_sparepart_chain,HGP,product,63000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_HC420SB-98L,HC420SB-98L,CHAIN,wtc_product.categ_sparepart_chain,HGP,product,60000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_10W300800EVO,10W300800EVO,FEDERAL EVOTEC 0.8 L,wtc_product.categ_sparepart_oil,FEDERAL EVOTEC 0.8 L,product,27000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_10W30-0800F-MATIC,10W30-0800F-MATIC,FEDERAL MATIC FLICK,wtc_product.categ_sparepart_oil,FEDERAL MATIC FLICK,product,34500,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_20W50-0800U-TC,20W50-0800U-TC,FEDERAL SUPREME UT,wtc_product.categ_sparepart_oil,non hgp,product,30500,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_074060040004,074060040004,FUEL PRESSURE GAUGE,wtc_product.categ_sparepart_tl,07406-0040004,product,918000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_076090010100,076090010100,"SPARKPLUG WR,10MM",wtc_product.categ_sparepart_tl,07609-0010100,product,314000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
